Label,Weight,Time,Average Pour Rate,Max Pour Rate,Time Till Half Weight
Sprout,175.4,110.2,1.5916515426497277,10.45,41.0
Sprout,170.7,145.8,1.170781893004115,11.999999999999998,57.2
Sprout,171.7,107.60000000000001,1.5957249070631967,10.0,32.2
Sprout,175.8,145.4,1.2090784044016507,6.5,45.400000000000006
Sprout,170.5,161.8,1.053770086526576,5.999999999999999,85.4
Sprout,171.9,168.0,1.0232142857142859,10.0,50.800000000000004
Sprout,165.3,142.0,1.1640845070422536,6.5,42.2
Sprout,162.1,145.4,1.1148555708390646,11.0,51.800000000000004
Sprout,166.6,121.80000000000001,1.3678160919540228,6.000000000000001,56.2
Rwanda,160.6,138.8,1.1570605187319882,8.999999999999998,58.800000000000004
Rwanda,176.1,159.20000000000002,1.1061557788944723,5.9999999999999964,45.400000000000006
Rwanda,172.2,119.2,1.4446308724832213,8.500000000000014,43.0
Rwanda,178.5,214.4,0.8325559701492538,5.0,76.2
Rwanda,192.0,162.20000000000002,1.1837237977805177,77.99999999999997,65.2
Rwanda,178.5,160.4,1.1128428927680798,5.500000000000007,60.0
Rwanda,170.4,129.4,1.3168469860896446,7.500000000000001,57.2
Rwanda,173.6,95.80000000000001,1.8121085594989559,96.99999999999999,48.400000000000006
Rwanda,174.4,99.80000000000001,1.7474949899799597,5.999999999999943,45.400000000000006
